Rank,Symbol,Latest_Return_%,RSI,MACD_Histogram,BB_Position,ATR_%,Volume_Surge_x,Corp_Ann_Sentiment,News_Sentiment,News_Articles,Blended_Sentiment,Patterns_Detected,Surge_Prob_%,Above_Threshold,Confidence
1,JINDALPOLY,5.0,56.7,7.7175,0.81,3.97,0.89,0.0,0.1,7,0.06,Gap-Up,63.8,YES,HIGH ★★★
2,SETCO,4.95,65.2,0.4861,0.96,3.32,0.69,0.0,0.0,7,0.0,—,61.9,YES,HIGH ★★★
3,GOLDTECH,5.0,66.7,0.3897,0.74,8.36,0.22,0.0,0.1,7,0.06,Gap-Up,60.9,YES,HIGH ★★★
4,INDOTECH,5.0,78.4,11.0092,0.86,4.76,0.75,0.0,0.1,7,0.06,—,60.6,YES,HIGH ★★★
5,SETL,4.98,76.7,2.9425,0.82,6.87,0.54,0.0,0.13,7,0.08,—,60.2,YES,HIGH ★★★
6,OMAXAUTO,5.0,60.5,-0.3398,1.0,4.88,2.9,0.0,0.1,7,0.06,Breakout,57.5,YES,HIGH ★★★
7,MCLEODRUSS,4.98,27.2,-0.8218,0.25,5.31,0.51,0.0,0.11,7,0.06,—,56.5,YES,HIGH ★★★
8,GICL,5.0,33.2,0.4165,0.3,8.41,0.09,0.0,0.0,7,0.0,"Gap-Up, Accumulation",55.8,YES,HIGH ★★★
9,VLEGOV,5.0,25.2,-0.1419,0.28,5.96,0.69,0.0,0.2,7,0.12,Gap-Up,55.3,YES,HIGH ★★★
10,UNIVASTU,4.99,62.0,0.4087,1.0,5.01,3.23,0.0,0.12,7,0.07,Breakout,51.5,YES,MEDIUM ★★
11,PENINLAND,4.98,67.2,0.3276,1.0,4.55,1.34,0.0,-0.3,2,-0.18,Gap-Up,51.1,YES,MEDIUM ★★
12,IDEAFORGE,4.99,45.3,-2.174,0.74,4.84,1.99,0.0,0.29,7,0.18,—,49.0,YES,MEDIUM ★★
13,CHEMBONDCH,5.0,70.2,1.465,0.8,5.68,2.82,0.0,0.0,5,0.0,Gap-Up,48.4,YES,MEDIUM ★★
